step,time_fs,potential_eV,kinetic_eV,total_eV,projectile_min_substrate_distance_A,carbon_z_A
25,6.25,-1139.703087925911,32.61178638031722,-1107.0913015455938,3.81212484551631,26.067185004920233
26,6.5,-1139.841632887721,32.750292082324705,-1107.0913408053964,3.7949041544708435,26.040256601753978
27,6.75,-1139.9763169884682,32.884940314689324,-1107.0913766737788,3.7777958770592863,26.01332691604677
28,7.0,-1140.106563359499,33.01515910008677,-1107.0914042594122,3.7608040423010287,25.986395970689042
29,7.25,-1140.2318672835827,33.1404303250157,-1107.091436958567,3.743932619846979,25.95946380575065
30,7.5,-1140.351746916771,33.2602910605413,-1107.0914558562297,3.7271855059739805,25.932530479326736
31,7.75,-1140.4658150672913,33.37432986413468,-1107.0914852031565,3.710566493131747,25.90559606204096
32,8.0,-1140.57369440794,33.48218565704889,-1107.091508750891,3.69407926781118,25.87866063187493
33,8.25,-1140.6750792860985,33.58355370315337,-1107.091525582945,3.6777274204564443,25.85172427038411
34,8.5,-1140.7697176784277,33.678182401239454,-1107.0915352771883,3.6615144440225573,25.82478705937516
35,8.75,-1140.8574045747519,33.76587258299511,-1107.0915319917567,3.6454437578440806,25.797849078186673
36,9.0,-1140.9380196332932,33.846477823858386,-1107.0915418094348,3.6295187175959938,25.770910400835163
37,9.25,-1141.0114579200745,33.91990433223354,-1107.091553587841,3.6137426261863768,25.743971092296828
38,9.5,-1141.077659189701,33.986115339266185,-1107.0915438504348,3.5981187395006935,25.71703120629763
39,9.75,-1141.13667806983,34.04513571697523,-1107.0915423528547,3.582650274612394,25.690090781937553
40,10.0,-1141.1885942816734,34.09705007989269,-1107.0915442017808,3.567340415065081,25.6631498406577
41,10.25,-1141.2335203513503,34.14199298130071,-1107.0915273700496,3.5521923097405583,25.63620838684366
42,10.5,-1141.2716540917754,34.180142757816675,-1107.0915113339588,3.5372090627767547,25.609266411602444
43,10.75,-1141.303219601512,34.211717781880125,-1107.0915018196317,3.5223937165156114,25.582323896703453
44,11.0,-1141.3284707665443,34.236977956489056,-1107.0914928100553,3.507749234655841,25.555380820143263
45,11.25,-1141.34769590199,34.25622902503635,-1107.0914668769535,3.493278487048425,25.52843716038127
46,11.5,-1141.3612710908055,34.26982173550879,-1107.0914493552968,3.478984230378845,25.50149289841905
47,11.75,-1141.3695660978556,34.2781466063177,-1107.0914194915379,3.464869091108402,25.47454801697342
48,12.0,-1141.3730054199696,34.28162842495199,-1107.0913769950175,3.450935556540615,25.44760249849164
49,12.25,-1141.3720832318068,34.28072062511439,-1107.0913626066924,3.4371859708835975,25.42065632293163
50,12.5,-1141.3672141581774,34.275899063409696,-1107.0913150947677,3.423622531894831,25.393709466215206
51,12.75,-1141.3589537590742,34.267659941504704,-1107.0912938175695,3.4102472932426786,25.36676189971631
52,13.0,-1141.347778134048,34.25651378122198,-1107.091264352826,3.397062163102003,25.339813590036776
53,13.25,-1141.3342040330172,34.2429797535124,-1107.0912242795048,3.3840689104361354,25.312864498957143
54,13.5,-1141.3187836557627,34.22758508795749,-1107.0911985678051,3.371269164719096,25.285914582265296
55,13.75,-1141.3020217940211,34.21085870788264,-1107.0911630861385,3.3586644194458666,25.25896378932264
56,14.0,-1141.2844458967447,34.19332204699981,-1107.091123849745,3.3462560352209283,25.232012064382456
57,14.25,-1141.2665858864784,34.17548548637187,-1107.0911004001066,3.3340452437633212,25.205059348113327
58,14.5,-1141.2489177584648,34.15784434293261,-1107.0910734155323,3.322033148919746,25.178105580395545
59,14.75,-1141.2319169342518,34.14087323290975,-1107.091043701342,3.310220733930977,25.151150703734068
60,15.0,-1141.2160455435514,34.125021259966836,-1107.0910242835846,3.2986088622735026,25.124194668674612
61,15.25,-1141.2017170116305,34.110707268895766,-1107.0910097427347,3.2871982847589076,25.097237438094496
62,15.5,-1141.1892925426364,34.09831777651877,-1107.0909747661176,3.2759896424334145,25.070278986032648
