step,time_fs,temperature_K,potential_eV,kinetic_eV,total_eV,max_force_eV_A
20,10.0,225.71748014632996,-42.690201299087974,0.23340985071662315,-42.45679144837135,0.8105051776525806
21,10.5,219.22907868951052,-42.683488747019375,0.2267003268709558,-42.45678842014842,0.845695121486382
22,11.0,212.6394424359245,-42.67667355113831,0.21988611818304543,-42.45678743295526,0.8799118675752179
23,11.5,205.97576981160586,-42.66978003581433,0.21299534999150643,-42.45678468582282,0.9130676705235368
24,12.0,199.2655446196351,-42.66284234109024,0.20605644273754697,-42.45678589835269,0.9450946405626491
25,12.5,192.53638561446476,-42.655879278363734,0.19909795641284145,-42.45678132195089,0.9759095810208426
26,13.0,185.81589495462052,-42.6489277290659,0.19214843384755417,-42.45677929521835,1.0054382220178097
27,13.5,179.1315125252872,-42.64201544466426,0.18523625006829147,-42.45677919459597,1.033600661002238
28,14.0,172.51035762588904,-42.63516649561634,0.1783894485904517,-42.45677704702589,1.0603197917010911
29,14.5,165.97905996030514,-42.62841080687181,0.17163556664864785,-42.456775240223166,1.085519513151157
30,15.0,159.56360980635284,-42.62177353233727,0.1650014802600209,-42.45677205207725,1.109129151478033
31,15.5,153.28918394006814,-42.61528206406365,0.15851322421608224,-42.45676883984757,1.1310784682303636
32,16.0,147.17999666029417,-42.60896623162038,0.1521958380302737,-42.456770393590105,1.15130100057419
33,16.5,141.2591569130168,-42.60284078989072,0.14607321819315192,-42.45676757169757,1.1697324030946261
34,17.0,135.54851800599468,-42.59693416827709,0.14016796276534696,-42.45676620551174,1.1863343950224883
35,17.5,130.06854643308995,-42.59126580967611,0.13450123573147338,-42.45676457394464,1.2010551347343248
36,18.0,124.83818799117918,-42.585858254565366,0.12909262855435366,-42.45676562601101,1.2138484484876966
37,18.5,119.8747448245981,-42.5807217491448,0.12396003302918174,-42.456761716115615,1.2246807883125632
38,19.0,115.19377179566031,-42.57588147636373,0.1191195341223864,-42.45676194224135,1.2335196028448001
39,19.5,110.80899226024565,-42.571346277682146,0.11458532287688185,-42.45676095480526,1.2403414706304678
40,20.0,106.73221680426548,-42.56712860382001,0.11036961237910099,-42.45675899144091,1.2451307735063502
41,20.5,102.97328168065023,-42.56324283910455,0.10648257409793767,-42.45676026500661,1.2478841609896503
42,21.0,99.54001382312298,-42.55969103806634,0.10293230170620218,-42.456758736360136,1.2485969925191447
43,21.5,96.43821405440265,-42.55648306033287,0.09972479371656615,-42.456758266616305,1.2472771061291672
44,22.0,93.67164561656992,-42.553620501634065,0.09686394162104732,-42.45675656001302,1.2439434313838602
45,22.5,91.24204544300845,-42.55110999437982,0.09435154154709458,-42.45675845283273,1.238617105583645
46,23.0,89.1491665477809,-42.54894589031711,0.09218733809157865,-42.45675855222553,1.2313327560123153
47,23.5,87.39083313681023,-42.5471302646211,0.09036908131014264,-42.45676118331096,1.222125303022029
48,24.0,85.96299675465966,-42.54565400665531,0.08889258477744401,-42.456761421877864,1.2110449232784857
49,24.5,84.85981396409656,-42.544513155722655,0.08775180591401016,-42.456761349808644,1.1981363221498336
50,25.0,84.07374005480493,-42.543700781231166,0.08693894288851012,-42.45676183834266,1.183469761388924
51,25.5,83.59562876988664,-42.543208356007916,0.08644453774289905,-42.45676381826502,1.1671042860993703
52,26.0,83.41485305378173,-42.54302279652585,0.08625760125538429,-42.456765195270464,1.14911519143326
53,26.5,83.51942670645214,-42.5431290799399,0.08636573874053993,-42.45676334119936,1.1295765738405508
54,27.0,83.89612505364157,-42.5435212406081,0.08675527483196574,-42.456765965776135,1.1085654676005687
55,27.5,84.53061604276446,-42.54417247991546,0.0874113890458769,-42.456761090869584,1.086163177859632
56,28.0,85.40760748649058,-42.545085516539004,0.08831826804269702,-42.456767248496305,1.0624585483875442
57,28.5,86.51098721547282,-42.546230137854394,0.08945925055614051,-42.456770887298255,1.0375381616146722
58,29.0,87.82394573877205,-42.547585694861766,0.09081695423386064,-42.45676874062791,1.011489437272251
59,29.5,89.3291326145843,-42.549142468870016,0.09237343733723481,-42.45676903153278,0.9844101544559459
60,30.0,91.00881323839478,-42.55088341084608,0.09411036087280257,-42.45677304997328,0.963422909328018
61,30.5,92.84499452955131,-42.55278251688635,0.09600911856219223,-42.45677339832416,0.9521888966942235
62,31.0,94.8195341673877,-42.55482414637114,0.09805094980097208,-42.45677319657017,0.9402605728569925
