backend,group,source_group,points,relative_energy_mae_eV,relative_energy_max_error_eV,reference_span_eV,predicted_span_eV,reference_short_range_rise_eV,predicted_short_range_rise_eV,slope_comparisons,slope_sign_mismatches
nequip,CF_10eV_4_93_O_C,CF_10eV_4_93,4,178.74087476238418,401.80730842595426,1192.08885652,1593.8961649459543,1192.08885652,1593.8961649459543,3,0
nequip,CF_10eV_4_98_F_F,CF_10eV_4_98,5,28.988819586024626,124.87372118065412,756.26446122,631.3907400393459,756.26446122,631.3907400393459,4,0
nequip,CF_20eV_2_32_O_F,CF_20eV_2_32,5,18.2306019451437,76.76270154829723,562.89942233,486.13672078170276,562.89942233,486.13672078170276,4,0
nequip,CF_20eV_2_52_F_F,CF_20eV_2_52,5,28.48618748131984,122.46203807954225,750.9728645,628.5108264204578,750.9728645,628.5108264204578,4,0
nequip,CF_20eV_2_52_Si_F,CF_20eV_2_52,5,5.06128415062509,13.735940851778139,301.77732406,315.51326491177815,301.77732406,315.51326491177815,4,0
nequip,CF_20eV_2_54_F_C,CF_20eV_2_54,4,11.432185371543696,34.278055992665884,341.06475031,306.78669431733414,341.06475031,306.78669431733414,3,0
nequip,CF_20eV_2_54_O_C,CF_20eV_2_54,5,7.372290066760013,20.306631594494718,288.72307867999996,268.41644708550524,288.72307867999996,268.41644708550524,4,0
nequip,CF_20eV_2_76_C_F,CF_20eV_2_76,5,21.03562017942677,51.0765322608886,826.99623653,775.9197042691114,826.99623653,775.9197042691114,4,0
nequip,CF_20eV_2_79_C_C,CF_20eV_2_79,5,89.94012633774256,401.8983106318635,1111.72390182,1513.6222124518636,1111.72390182,1513.6222124518636,4,0
nequip,CF_20eV_2_79_Si_C,CF_20eV_2_79,4,7.503153979838714,22.20743922251745,170.28226638,192.48970560251746,170.28226638,192.48970560251746,3,0
nequip,CF_30eV_18_12_F_F,CF_30eV_18_12,6,65.37605086596272,240.20294513896056,1718.30338544,1478.1004403010395,1718.30338544,1478.1004403010395,5,0
nequip,CF_30eV_18_13_Si_C,CF_30eV_18_13,3,8.648711638318085,24.16612697678778,149.23369271999996,173.39981969678774,149.23369271999996,173.39981969678774,2,0
nequip,CF_30eV_18_13_Si_F,CF_30eV_18_13,4,1.4446653901931938,5.558745286569433,257.32341981,262.88216509656945,257.32341981,262.88216509656945,3,0
nequip,CF_30eV_18_3_C_C,CF_30eV_18_3,5,96.8338717182755,412.89753708328294,1103.9963059,1516.8938429832829,1103.9963059,1516.8938429832829,4,0
nequip,CF_30eV_18_3_C_F,CF_30eV_18_3,5,14.477334901682912,35.57222994093547,809.56516776,773.9929378190645,809.56516776,773.9929378190645,4,0
nequip,CF_30eV_18_3_F_C,CF_30eV_18_3,5,17.45543913017068,37.87332191738096,808.52853438,770.655212462619,808.52853438,770.655212462619,4,0
nequip,CF_30eV_18_3_O_C,CF_30eV_18_3,6,72.53795490459116,406.09659665628965,1809.2308348899999,2215.3274315462895,1809.2308348899999,2215.3274315462895,5,0
nequip,CF_30eV_18_3_O_F,CF_30eV_18_3,6,41.87232635327394,156.5086530209221,1311.85339685,1155.344743829078,1311.85339685,1155.344743829078,5,0
deepmd,CF3_10eV_19_10_O_F,CF3_10eV_19_10,4,147.58953992624214,529.788244644864,560.6439904,60.42540284246206,560.6439904,30.855745755136013,3,1
deepmd,CF3_10eV_19_59_C_C,CF3_10eV_19_59,7,196.33737759936912,902.3028335306544,1143.63104381,241.3282102793455,1143.63104381,241.3282102793455,6,0
deepmd,CF3_10eV_19_59_C_F,CF3_10eV_19_59,6,200.08914692251537,831.6894510486547,820.8509963700001,69.30544904619455,820.8509963700001,-10.83845467865467,5,2
deepmd,CF3_10eV_19_59_F_C,CF3_10eV_19_59,4,80.41318678954914,301.02690313890014,344.41578289999995,47.824297942221165,344.41578289999995,43.388879761099815,3,1
deepmd,CF3_10eV_19_59_Si_C,CF3_10eV_19_59,5,27.905779151288698,112.75646705654276,206.29446389999998,93.53799684345722,206.29446389999998,93.53799684345722,4,0
deepmd,CF3_10eV_19_68_O_C,CF3_10eV_19_68,7,361.6259268015462,1675.497366168278,1802.38209422,126.88472805172205,1802.38209422,126.88472805172205,6,3
deepmd,CF3_10eV_19_68_Si_F,CF3_10eV_19_68,6,390.1865703667322,1537.2027859631328,1767.89914711,230.69636114686728,1767.89914711,230.69636114686728,5,2
deepmd,CF3_10eV_19_84_F_F,CF3_10eV_19_84,5,169.12745475756225,721.4589241844499,756.04379722,56.151790119707584,756.04379722,34.58487303555012,4,1
deepmd,CF3_20eV_4_36_C_C,CF3_20eV_4_36,5,220.33520804152232,683.7040868105821,1112.19801721,428.4939303994179,1112.19801721,428.4939303994179,4,0
deepmd,CF3_20eV_4_50_C_F,CF3_20eV_4_50,5,79.6002615798799,328.90616167272907,369.61571031,55.5532366335392,369.61571031,40.70954863727093,4,1
deepmd,CF3_20eV_4_78_F_C,CF3_20eV_4_78,5,220.0019838935802,779.4645760742592,810.7905624,47.04315958172083,810.7905624,31.325986325740814,4,1
deepmd,CF3_20eV_4_78_O_C,CF3_20eV_4_78,6,418.32978416894304,1674.4745966283144,1809.96117288,135.48657625168562,1809.96117288,135.48657625168562,5,1
deepmd,CF3_20eV_4_98_F_F,CF3_20eV_4_98,6,420.164767352518,1679.314080238672,1714.4034424799997,53.72395212948322,1714.4034424799997,35.08936224132776,5,2
deepmd,CF3_20eV_4_98_O_F,CF3_20eV_4_98,4,435.2434954001513,1254.0949589199347,1244.6036545,61.98586069047451,1244.6036545,-9.49130441993475,3,2
deepmd,CF3_20eV_4_98_Si_C,CF3_20eV_4_98,6,199.84419360494573,841.7490188609648,956.44104602,114.6920271590352,956.44104602,114.6920271590352,5,0
deepmd,CF3_20eV_4_98_Si_F,CF3_20eV_4_98,6,393.60274703699525,1576.6465746495364,1765.6099152299998,188.9633405804634,1765.6099152299998,188.9633405804634,5,1
deepmd,CF3_30eV_9_36_C_C,CF3_30eV_9_36,7,199.55462030620626,938.4013201627399,1146.39140645,207.99008628726006,1146.39140645,207.99008628726006,6,0
deepmd,CF3_30eV_9_36_C_F,CF3_30eV_9_36,6,196.58199192625307,773.1066107368474,824.8005270799999,51.88931727409363,824.8005270799999,51.69391634315252,5,1
deepmd,CF3_30eV_9_36_F_C,CF3_30eV_9_36,5,220.46291943452724,783.2375816978858,808.2164690100001,48.23539059609175,808.2164690100001,24.97888731211424,4,2
deepmd,CF3_30eV_9_36_F_F,CF3_30eV_9_36,6,419.644410004943,1673.8322764956906,1713.35979938,57.16981837153435,1713.35979938,39.52752288430929,5,1
deepmd,CF3_30eV_9_36_O_C,CF3_30eV_9_36,6,422.3896385171534,1703.7939740668826,1807.22427583,103.43030176311731,1807.22427583,103.43030176311731,5,1
deepmd,CF3_30eV_9_36_Si_F,CF3_30eV_9_36,7,405.2400669966396,1744.6589441707624,1852.06992219,107.41097801923752,1852.06992219,107.41097801923752,6,2
deepmd,CF3_30eV_9_9_O_F,CF3_30eV_9_9,6,316.20551749841167,1304.880550885086,1311.84500342,61.24237549304962,1311.84500342,6.964452534914017,5,2
deepmd,CF3_30eV_9_9_Si_C,CF3_30eV_9_9,7,396.4691032583605,1266.923114748311,1521.4243074,254.50119265168905,1521.4243074,254.50119265168905,6,1
deepmd,CF_10eV_4_37_C_F,CF_10eV_4_37,6,197.3801915531105,817.5493247312486,823.5263087999999,56.652127645909786,823.5263087999999,5.976984068751335,5,2
deepmd,CF_10eV_4_37_Si_F,CF_10eV_4_37,4,57.33445283215626,218.33260724791347,268.76547514,50.809098556637764,268.76547514,50.432867892086506,3,1
deepmd,CF_10eV_4_39_F_C,CF_10eV_4_39,4,81.01287994201397,300.6061428804703,346.93439723000006,46.32825434952974,346.93439723000006,46.32825434952974,3,0
deepmd,CF_10eV_4_54_C_C,CF_10eV_4_54,3,41.61535743982055,122.25485344906224,174.52179107000006,52.266937620937824,174.52179107000006,52.266937620937824,2,0
deepmd,CF_10eV_4_54_Si_C,CF_10eV_4_54,4,26.57908213342938,100.67756701918881,178.44628290000003,77.76871588081121,178.44628290000003,77.76871588081121,3,0
deepmd,CF_10eV_4_5_O_F,CF_10eV_4_5,4,146.47711008612262,524.4221424516059,560.78896158,58.221321426332,560.78896158,36.36681912839413,3,1
deepmd,CF_10eV_4_93_O_C,CF_10eV_4_93,4,461.4671900359135,1059.7985979708462,1192.08885652,143.82550439983606,1192.08885652,132.2902585491538,3,1
deepmd,CF_10eV_4_98_F_F,CF_10eV_4_98,5,169.6318075327212,722.5755067996123,756.26446122,53.71855044364929,756.26446122,33.688954420387745,4,1
