backend,id,track,selection,group,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max,cf_sio_contact_A
deepmd,dft/etch/trj_CF3_30eV.extxyz:999,etch,coverage,trj_CF3_30eV_case1,150,0.12091406920287975,0.20702086055450408,0.3964330089948396,0.7188746833816763,1.678623880132109,0.6726574098242583,2.3310133303805367,1.146516463030514
deepmd,dft/mqa/mqa_Si.extxyz:0,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.12513528833417942,0.15658214862373776,0.28532513839988577,0.38309598466691164,0.5351752573054991,0.38249134515352523,0.730845169924793,
deepmd,dft/mqa/mqa_Si.extxyz:88,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.11869649594596259,0.1492860277544114,0.29345208319136507,0.3733246019922389,0.44375996097831755,0.3881955617568158,0.6448092611837187,
deepmd,dft/mqa/mqa_Si.extxyz:177,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.09635088026512313,0.11773150472407155,0.22429186946604043,0.280535810837715,0.3174850880092792,0.31086004282034824,0.3652069065029791,
deepmd,dft/mqa/mqa_Si.extxyz:265,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.09227104669376962,0.117132305434118,0.22376045199746375,0.30828284346360485,0.34136465742034466,0.33026402463329757,0.4046580250389435,
deepmd,dft/mqa/mqa_Si.extxyz:354,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.09073587529486797,0.11589819303530807,0.2257560923076191,0.3193872028698656,0.43089315886087715,0.348427119713563,0.4479798749290473,
deepmd,dft/mqa/mqa_Si.extxyz:442,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.08641850836724903,0.10733407375229088,0.19911190270646387,0.2928646848648363,0.33017692807622256,0.3016075430881059,0.424265783366029,
deepmd,dft/mqa/mqa_Si.extxyz:531,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.10272805674330286,0.13284193291850255,0.2814237614680786,0.32671070750438413,0.337774627639687,0.35512324213256474,0.36524492135897985,
deepmd,dft/mqa/mqa_Si.extxyz:619,mqa,coverage,dft/mqa/mqa_Si.extxyz:mqa_Si,64,0.11805214505193577,0.1485285824585569,0.277244682583556,0.41827166953222733,0.4577924235165993,0.4175087512218434,0.6328004793063026,
deepmd,dft/mqa/mqa_SiC.extxyz:0,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.15308442293349778,0.20009648392438018,0.378984636728946,0.5594783428478598,0.7462887640080311,0.5701052477816793,0.7610770149541473,1.7216500923939175
deepmd,dft/mqa/mqa_SiC.extxyz:88,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.1743822820093742,0.21802960274050767,0.4231628905624349,0.5129517803594819,0.7932214086228675,0.5806624645115568,0.8875295231568566,1.693863354229024
deepmd,dft/mqa/mqa_SiC.extxyz:177,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.18583598046851302,0.23722655081340324,0.4793028482335099,0.582482754125136,0.8121624070335687,0.6993621741293969,0.9364204791620777,1.6108935477554065
deepmd,dft/mqa/mqa_SiC.extxyz:265,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.1919655537444999,0.24227692695175648,0.4362875351516013,0.6384356909919098,0.9003544347445769,0.7227738872061806,0.9693756296817919,1.6392847201604375
deepmd,dft/mqa/mqa_SiC.extxyz:354,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.17670876684379855,0.23310287497914634,0.4819000467183789,0.6749161562641885,1.005225562221825,0.6626741603776054,1.040107117988051,1.5925064224046326
deepmd,dft/mqa/mqa_SiC.extxyz:442,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.18949277181060156,0.2407469492004921,0.4924763384765348,0.6428081931123112,0.8106862063053468,0.6781803831251825,0.8703005474953213,1.676954091738948
deepmd,dft/mqa/mqa_SiC.extxyz:531,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.17586177379889759,0.22673006590397388,0.47656884159409973,0.5838056764971529,0.7951530421340527,0.5896942893062875,0.8418117083940636,1.6381236183817145
deepmd,dft/mqa/mqa_SiC.extxyz:619,mqa,coverage,dft/mqa/mqa_SiC.extxyz:mqa_SiC,64,0.18085467687500698,0.2239416849208108,0.43027850349812735,0.5731432635163749,0.6940883368758397,0.6645960797696211,0.8407538545862286,1.7157911518605296
deepmd,dft/mqa/mqa_SiO2.extxyz:0,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.03173343306741076,0.04026031477977135,0.081637209988578,0.09428506046589179,0.133389149865767,0.1186410546146192,0.13741305817737376,
deepmd,dft/mqa/mqa_SiO2.extxyz:103,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.035081925177116204,0.045880413110043795,0.09474964709425733,0.13801973990501648,0.15174803341790555,0.14290506394208036,0.18278341794457267,
deepmd,dft/mqa/mqa_SiO2.extxyz:205,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.12444385258263543,0.17975742387577043,0.3746043797828721,0.6145746868363143,0.7562837235494779,0.6604550078701328,0.9100495616098608,
deepmd,dft/mqa/mqa_SiO2.extxyz:308,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.07948801121768576,0.1093023526451288,0.22953599875842245,0.31524649236142527,0.6284830384583697,0.3423647099698884,0.6410112983018169,
deepmd,dft/mqa/mqa_SiO2.extxyz:411,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.07802636042967405,0.10505320608115148,0.21422299926150715,0.2832138181678311,0.5946600928309858,0.34347366115869543,0.6075046248087086,
deepmd,dft/mqa/mqa_SiO2.extxyz:514,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.049185899906126984,0.06210659627772823,0.1270217113449697,0.14830085627748307,0.1670979965988073,0.17000085932868456,0.20445919273426424,
deepmd,dft/mqa/mqa_SiO2.extxyz:616,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.04105332745241355,0.05404709687477962,0.1169756446073846,0.1592143635009164,0.19466201195719846,0.16637884866663397,0.21799582388291397,
deepmd,dft/mqa/mqa_SiO2.extxyz:719,mqa,coverage,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,99,0.029551095929567693,0.03856313658066373,0.07411198794515092,0.10497472700006145,0.15524422710320795,0.1052468427980441,0.1620988877387098,
