backend,member,group,frames,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
mace,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:melt,8,1152,0.8468359105608932,1.1244380666607166,2.2342879558748905,3.2489165142564542,7.330985092588278,3.357659038466457,9.38202547306287
mace,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:quench,8,1152,0.652690075643578,0.8872498717324145,1.9148420767388612,2.7174690177128356,4.626717409601898,2.8568175469053894,5.5369193074940295
mace,dft/etch/trj_CF2_30eV.extxyz,trj_CF2_30eV_case1,32,4801,0.17270719190273684,0.2824924806508884,0.5995285890511031,1.063680615280446,4.1218411907139085,0.9834987292413175,4.13871207531386
mace,dft/etch/trj_CF3_30eV.extxyz,trj_CF3_30eV_case1,32,4800,0.1819164990709782,0.29019635037979113,0.6035236455754587,1.110233485291355,2.810357408101749,1.0241156643337712,3.727018248773386
mace,dft/mqa/mqa_Si.extxyz,dft/mqa/mqa_Si.extxyz:mqa_Si,8,512,0.17599231064746157,0.22330421808601833,0.448255400473101,0.5942489069608446,0.9572220991752928,0.650534166181774,0.9849098764484351
mace,dft/mqa/mqa_SiC.extxyz,dft/mqa/mqa_SiC.extxyz:mqa_SiC,8,512,0.43028040689411634,0.5522411029252735,1.1174150692491827,1.5095065918424226,2.3445407462064445,1.6218111297781648,3.0405966025890616
mace,dft/mqa/mqa_SiO2.extxyz,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,8,792,0.07978853089230982,0.12671154894944292,0.27162120662054146,0.47619059781687934,1.1428736720109,0.48370661491572675,1.1466480759344653
mace,dft/qsd/qsd_data.extxyz,CF3_10eV_19_10,4,404,8.287407110440956,120.44497478564413,3.4392305253732536,37.1149769609878,2571.5384045863652,6.80786400402597,2953.9292673601535
mace,dft/qsd/qsd_data.extxyz,CF3_10eV_19_59,22,2354,5.113062222232099,79.51995523796204,1.9197670118783623,34.42031065970905,3034.900082285109,5.306184178691291,3506.5387373629646
mace,dft/qsd/qsd_data.extxyz,CF3_10eV_19_68,13,1352,10.464479672344735,142.72031303937035,3.2163597656097735,41.10214124362599,3621.1739679979746,6.558788443895723,4176.768421391017
mace,dft/qsd/qsd_data.extxyz,CF3_10eV_19_84,5,515,9.063307364725482,145.77816941091723,0.868052856464379,46.91363052302765,3496.4022409068284,1.5203465630653226,4034.718661549553
mace,dft/qsd/qsd_data.extxyz,CF3_20eV_4_36,5,545,6.589199597964246,76.48530463190434,1.6218880132007063,26.940363562182146,1417.512625990862,3.904585678327809,1629.9003744098954
mace,dft/qsd/qsd_data.extxyz,CF3_20eV_4_50,5,550,4.010094915784922,63.01760429026135,2.2464715165146103,40.08518932225621,1617.3258805483983,4.747447356505945,1848.896744385739
mace,dft/qsd/qsd_data.extxyz,CF3_20eV_4_78,11,1045,11.974007331621927,160.1584076282515,1.6165290019790393,28.589671016586443,3611.5502640660216,4.205089239161495,4166.4219487417
mace,dft/qsd/qsd_data.extxyz,CF3_20eV_4_98,22,1804,18.450017793191623,245.53169416817127,3.2618021302989932,281.36812752510014,7469.883527089529,10.660259331606648,8589.639868938144
mace,dft/qsd/qsd_data.extxyz,CF3_30eV_9_36,37,3256,13.169146525648358,183.49336622311364,3.3319683266649487,92.03388600236943,7447.420204677865,7.944257582610957,8552.988310372402
mace,dft/qsd/qsd_data.extxyz,CF3_30eV_9_9,13,1365,17.45658260368664,199.352823537483,3.5641898797302662,321.48599300141206,5572.022821360793,7.491015242331511,6427.856606013377
mace,dft/qsd/qsd_data.extxyz,CF_10eV_4_37,10,1080,6.058556671534523,100.1323436237918,1.8166901094407852,30.182636543811633,3111.2531985534333,3.1925101238623173,3558.478974287948
mace,dft/qsd/qsd_data.extxyz,CF_10eV_4_39,4,436,4.020737512833414,64.9948206039257,1.3947887107777435,10.431016768083637,1478.5744028341364,1.8880906021568622,1681.688686247642
mace,dft/qsd/qsd_data.extxyz,CF_10eV_4_5,4,416,7.924073941970699,122.00742715181578,1.9425467597940955,25.35487103051705,2620.9343642904387,3.509829168912081,3048.7465639879993
mace,dft/qsd/qsd_data.extxyz,CF_10eV_4_54,7,735,1.8695636355549294,23.788764074202597,1.3633761703631706,14.60433787514648,581.2668476019705,2.431512323277908,674.8927983047549
mace,dft/qsd/qsd_data.extxyz,CF_10eV_4_93,4,412,20.170599342516088,153.39259725668876,10.220607454799431,579.5660584730127,2238.162460569598,23.03096795345508,2565.7353626344016
mace,dft/qsd/qsd_data.extxyz,CF_10eV_4_98,5,500,9.353162066707027,149.69477466740702,1.0909130838630885,37.543658772352615,3569.3962091878475,1.9601579400215727,4084.5500350230577
mace,dft/qsd/qsd_data.extxyz,CF_20eV_2_32,5,515,6.604280034637887,107.5544517836658,2.1258451696619765,24.203064406866858,2621.7548430471134,4.509531567613413,3004.3838135073024
mace,dft/qsd/qsd_data.extxyz,CF_20eV_2_52,10,930,7.075071698769554,108.06707547160163,1.8679912983418825,71.19033865197352,3365.3885579787734,3.798608121660297,3873.9602342680005
mace,dft/qsd/qsd_data.extxyz,CF_20eV_2_54,9,846,4.915102640204267,57.29729521886712,3.3301540566310552,74.5526900375139,1456.6716234148296,8.372325191075785,1620.5222793181247
mace,dft/qsd/qsd_data.extxyz,CF_20eV_2_76,5,480,11.095174820206765,149.83314598983796,1.7442053532447157,21.210315580972548,3060.2621000652825,4.8249803697775775,3576.139627530693
mace,dft/qsd/qsd_data.extxyz,CF_20eV_2_79,9,846,5.023491181300929,64.01598178651253,1.4880648553099758,24.758934027203612,1413.6287294033182,3.999645575132779,1643.0359984491001
mace,dft/qsd/qsd_data.extxyz,CF_30eV_18_12,6,534,23.534721454701742,334.0465646578887,2.0833407666276544,62.99737882394812,7419.51950492702,3.6895713156461967,8558.710548214005
mace,dft/qsd/qsd_data.extxyz,CF_30eV_18_13,7,623,2.3505535257665757,31.629412202517766,1.2248095713666312,13.643872648584736,782.4756024929496,2.3234670339446484,895.6513207400627
mace,dft/qsd/qsd_data.extxyz,CF_30eV_18_3,27,2754,11.184517211291764,162.99563311515317,2.152872425861465,38.36294535228822,5562.054301296881,4.208767399268901,6428.748077730479
nequip,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:anneal,8,1152,0.538584563870137,0.6910230347873527,1.3743753617910492,1.90362283592406,3.0232032247353,2.0036232079248033,3.1383108720582147
nequip,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:melt,8,1152,0.9471966150351571,1.2227625126782913,2.4593998592455475,3.435222034791952,5.396621554151106,3.6865550580161384,5.56684167471878
nequip,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:quench,8,1152,0.8269600795021375,1.0924004312025912,2.2335404795816296,3.143372877278405,4.983897284341976,3.3242856611387555,5.119591908989856
nequip,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:anneal,8,1152,0.6869511480245952,0.8846314012496117,1.798479072850589,2.422332924875137,3.5777647627192986,2.5933620565349993,4.677756121613037
nequip,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:melt,8,1152,1.1340744088587316,1.4401201175466747,2.826544330756446,3.771496239821606,5.197367573758827,4.189844653307624,5.861979031841354
nequip,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:quench,8,1152,0.8957256466198099,1.1705090949594166,2.407777193065957,3.3761953958542743,5.068017680796135,3.5489725408035264,5.963520474728861
nequip,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:anneal,8,1152,0.5361807361478006,0.7151591729039771,1.489683780213995,2.0935551615438497,3.0274763975017573,2.2525897033082316,3.478303171911374
nequip,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:melt,8,1152,0.9368922110618031,1.232142653329077,2.5596105053776403,3.5486610352317522,5.840703226407755,3.803808534689943,7.060715285666517
nequip,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:quench,8,1152,0.8491542851305502,1.1354008716970747,2.375649096842867,3.40340068800272,5.346535534191197,3.473471327013273,5.580391494525291
nequip,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:anneal,8,1152,0.6682497107938006,0.8515560759260415,1.6990670388667066,2.2831607052564213,3.6448387331852743,2.484179211705342,3.8772854254366353
nequip,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:melt,8,1152,1.0898602472029995,1.4025937885567548,2.810869598552565,3.7945211311944913,6.725583539979013,4.184320339793381,7.03875265454914
nequip,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:quench,8,1152,0.9322937151548837,1.2323475909198587,2.593556414939035,3.46270689306572,5.70384353916774,3.7515690315068277,5.895153108279162
nequip,dft/etch/trj_CF2_30eV.extxyz,trj_CF2_30eV_case1,32,4801,0.23354664154835894,0.34413455666186304,0.7193684837684852,1.2014651338362743,3.7591573416400546,1.1777195311187805,3.816181513141447
nequip,dft/etch/trj_CF3_30eV.extxyz,trj_CF3_30eV_case1,32,4800,0.2315216250689985,0.3385787540685856,0.6958866340508524,1.196632635912562,2.940426539192497,1.1227490530476114,3.4176652443323237
nequip,dft/mqa/mqa_Si.extxyz,dft/mqa/mqa_Si.extxyz:mqa_Si,8,512,0.26401759805664976,0.3303142134951394,0.6450225662093493,0.8703960649736646,1.209863206846681,0.9441563392389417,1.2398297283009094
nequip,dft/mqa/mqa_SiC.extxyz,dft/mqa/mqa_SiC.extxyz:mqa_SiC,8,512,0.49338615249707624,0.640328996372451,1.285589315223994,1.778790002010558,3.1402711024929943,1.8512586475548618,3.4960105644497657
nequip,dft/mqa/mqa_SiO2.extxyz,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,8,792,0.21519236863673133,0.32804515565674325,0.7043143183810212,1.211564329145018,2.3441817849329505,1.1720122928855077,2.7666039836704353
nequip,dft/qsd/qsd_data.extxyz,CF3_10eV_19_10,4,404,1.7890390674120298,24.943395821054526,1.069876868556248,6.168462798829396,535.8784596775413,1.7866885386890152,615.6879922634688
nequip,dft/qsd/qsd_data.extxyz,CF3_10eV_19_59,22,2354,3.661902506472448,108.2660050689696,1.0632344891532708,13.967622484645302,5529.674027110956,2.2927343100459,6384.842832347309
nequip,dft/qsd/qsd_data.extxyz,CF3_10eV_19_68,13,1352,25.94243664263008,610.1066440520895,1.6911601933189664,15.207245522131009,22618.83607018311,3.9254042396342768,26107.162774669756
nequip,dft/qsd/qsd_data.extxyz,CF3_10eV_19_84,5,515,2.191814675893539,35.17269409416815,0.8130403862384878,4.590180849687445,844.1134979433855,1.1824914409317882,973.6843503797732
nequip,dft/qsd/qsd_data.extxyz,CF3_20eV_4_36,5,545,12.29916541731843,223.817968648375,1.1841279267121865,12.22017108573791,5520.042861218351,3.416083791418798,6373.952277686725
nequip,dft/qsd/qsd_data.extxyz,CF3_20eV_4_50,5,550,0.9059132568639293,8.919877656865587,1.124924929766394,10.216249020387721,235.17869668814205,2.725408858488087,253.04128682672658
