backend,id,track,selection,group,atom_index,element,vector_error_eV_A,component_max_eV_A,nearest_distance_A,cf_sio_contact_A,ref_force_norm_eV_A
mace,dft/qsd/qsd_data.extxyz:536,qsd,coverage,CF3_30eV_9_36_O_C,57,O,2474.6605460409382,2143.8774358714504,0.28399894806143233,0.28399894806143233,3952.3800161234094
mace,dft/qsd/qsd_data.extxyz:501,qsd,coverage,CF3_20eV_4_98_Si_C,0,C,2419.3276167111685,2099.44658617033,0.18700281414994824,0.18700281414994824,6575.251001513402
mace,dft/qsd/qsd_data.extxyz:587,qsd,coverage,CF3_30eV_9_9_Si_C,74,Si,2414.5103829569307,2079.74892782149,0.18700281414994824,0.18700281414994824,6626.210205031232
mace,dft/qsd/qsd_data.extxyz:501,qsd,coverage,CF3_20eV_4_98_Si_C,77,Si,2382.831152082135,2072.583319059323,0.18700281414994824,0.18700281414994824,6602.13686531144
mace,dft/qsd/qsd_data.extxyz:1150,qsd,coverage,CF_20eV_2_76_C_F,29,C,1938.3046134824508,1642.5193257342557,0.3989964180290342,1.2835795392962583,2168.9770393890685
mace,dft/qsd/qsd_data.extxyz:1150,qsd,coverage,CF_20eV_2_76_C_F,44,F,1862.708112341494,1610.8914753296772,0.3989964180290342,1.2835795392962583,2154.3610476111025
mace,dft/qsd/qsd_data.extxyz:438,qsd,coverage,CF3_20eV_4_50_C_F,2,C,1848.896744385739,1617.3258805483983,0.398996418029034,0.9062880214920636,2209.6203819177003
mace,dft/qsd/qsd_data.extxyz:240,qsd,coverage,CF3_10eV_19_59_C_F,0,C,1767.0030259496973,1518.2429629995474,0.398996418029034,1.351081189344298,2149.9543726367333
mace,dft/qsd/qsd_data.extxyz:438,qsd,coverage,CF3_20eV_4_50_C_F,19,F,1755.5916753976483,1529.8049447717908,0.398996418029034,0.9062880214920636,2094.1618815367465
mace,dft/qsd/qsd_data.extxyz:636,qsd,coverage,CF_10eV_4_37_C_F,6,C,1755.2328835789774,1539.7492378132051,0.398996418029034,1.371796809662423,2156.4514337288974
mace,dft/qsd/qsd_data.extxyz:891,qsd,coverage,CF_10eV_4_93_O_C,24,F,1727.9647704281676,1598.3225548803907,0.28426472345333376,0.28426472345333376,4697.791940749309
mace,dft/qsd/qsd_data.extxyz:556,qsd,coverage,CF3_30eV_9_36_Si_F,24,F,1714.1075634984797,1466.3346803620977,0.33599607200085,0.33599607200085,3194.6599849424747
mace,dft/qsd/qsd_data.extxyz:519,qsd,coverage,CF3_30eV_9_36_C_F,0,C,1710.4798547634264,1485.3059322221425,0.398996418029034,1.2595609813740645,2145.890125431513
mace,dft/qsd/qsd_data.extxyz:891,qsd,coverage,CF_10eV_4_93_O_C,101,Si,1707.8231739247267,1590.166759209028,0.28426472345333376,0.28426472345333376,4693.382314169258
mace,dft/qsd/qsd_data.extxyz:556,qsd,coverage,CF3_30eV_9_36_Si_F,86,Si,1704.0443553956306,1442.7211798537892,0.33599607200085,0.33599607200085,3260.805332579422
mace,dft/qsd/qsd_data.extxyz:1307,qsd,coverage,CF_30eV_18_3_C_F,6,F,1693.9221655845154,1462.1579016735423,0.39899641802903446,1.1431451005449835,2147.8369806308206
mace,dft/qsd/qsd_data.extxyz:1307,qsd,coverage,CF_30eV_18_3_C_F,1,C,1683.9075314055015,1458.4556403847334,0.39899641802903446,1.1431451005449835,2147.854781392286
mace,dft/qsd/qsd_data.extxyz:514,qsd,coverage,CF3_30eV_9_36_C_C,0,C,1683.5519556060162,1467.879146332274,0.15200358416826865,1.2530260676059377,9812.817069303404
mace,dft/qsd/qsd_data.extxyz:677,qsd,coverage,CF_10eV_4_39_F_C,8,C,1681.688686247642,1478.5744028341364,0.3989964180290336,1.3097513380409276,2148.476204075509
mace,dft/qsd/qsd_data.extxyz:240,qsd,coverage,CF3_10eV_19_59_C_F,10,F,1677.1400625360893,1438.656723773899,0.398996418029034,1.351081189344298,2068.59670628798
mace,dft/qsd/qsd_data.extxyz:636,qsd,coverage,CF_10eV_4_37_C_F,22,F,1672.0787170235153,1449.2836566071837,0.398996418029034,1.371796809662423,2086.952500883393
mace,dft/qsd/qsd_data.extxyz:304,qsd,coverage,CF3_10eV_19_68_Si_F,94,Si,1661.240762711971,1430.8082343666138,0.3359960720008509,0.3359960720008509,3232.3955095431384
mace,dft/qsd/qsd_data.extxyz:304,qsd,coverage,CF3_10eV_19_68_Si_F,8,F,1649.25395558043,1432.2279629548354,0.3359960720008509,0.3359960720008509,3194.5709146901377
mace,dft/qsd/qsd_data.extxyz:506,qsd,coverage,CF3_20eV_4_98_Si_F,77,Si,1646.3919932755798,1414.3041016479588,0.3359960720008509,0.3359960720008509,3233.446762116105
mace,dft/qsd/qsd_data.extxyz:235,qsd,coverage,CF3_10eV_19_59_C_C,0,C,1643.8735026903346,1424.9364823600135,0.15200358416826942,1.351081189344298,9815.25497684163
mace,dft/qsd/qsd_data.extxyz:1191,qsd,coverage,CF_20eV_2_79_C_C,8,C,1643.0359984491001,1413.6287294033182,0.1520035841682699,1.306619940839722,9821.755187743991
mace,dft/qsd/qsd_data.extxyz:519,qsd,coverage,CF3_30eV_9_36_C_F,24,F,1640.0115148055952,1435.462001609019,0.398996418029034,1.2595609813740645,2038.4381579956564
mace,dft/qsd/qsd_data.extxyz:442,qsd,coverage,CF3_20eV_4_78_F_C,0,C,1639.4026263500416,1472.0027363563631,0.39899641802903446,1.5805841200328443,2147.2772003017244
mace,dft/qsd/qsd_data.extxyz:677,qsd,coverage,CF_10eV_4_39_F_C,14,F,1638.668427164935,1430.9053449278356,0.3989964180290336,1.3097513380409276,2150.6612483402478
mace,dft/qsd/qsd_data.extxyz:506,qsd,coverage,CF3_20eV_4_98_Si_F,11,F,1633.4294855229919,1412.3485443847946,0.3359960720008509,0.3359960720008509,3192.1694986354846
mace,dft/qsd/qsd_data.extxyz:1303,qsd,coverage,CF_30eV_18_3_C_C,2,C,1632.1914065676367,1417.3945335287663,0.1520035841682699,1.1431451005449835,9808.000219595704
mace,dft/qsd/qsd_data.extxyz:337,qsd,coverage,CF3_20eV_4_36_C_C,2,C,1629.9003744098954,1417.512625990862,0.15200358416826834,1.1665717316564812,9812.90725325597
mace,dft/qsd/qsd_data.extxyz:1191,qsd,coverage,CF_20eV_2_79_C_C,28,C,1622.527678143239,1405.723854104741,0.1520035841682699,1.306619940839722,9796.431443318852
mace,dft/qsd/qsd_data.extxyz:1303,qsd,coverage,CF_30eV_18_3_C_C,1,C,1620.6904755113128,1420.3422771053647,0.1520035841682699,1.1431451005449835,9807.626837162818
mace,dft/qsd/qsd_data.extxyz:1072,qsd,coverage,CF_20eV_2_54_F_C,18,C,1620.5222793181247,1456.6716234148296,0.39900507828848464,1.228183400718312,2127.823971699323
mace,dft/qsd/qsd_data.extxyz:442,qsd,coverage,CF3_20eV_4_78_F_C,13,F,1616.6622512476226,1438.91719910362,0.39899641802903446,1.5805841200328443,2145.8379955313403
mace,dft/qsd/qsd_data.extxyz:892,qsd,coverage,CF_10eV_4_93_O_C,24,F,1605.355327811612,1590.603742004425,0.2583964142553063,0.2583964142553063,5792.035865902312
