backend,track,category,subset,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
nequip,FC,nearest_distance_A,"[1.5,2)",1514,0.7344866330127506,0.9552036341236252,1.928417575227313,2.7520424529916583,4.412100012881641,2.8611904353754314,4.928181351618504
nequip,FC,nearest_distance_A,"[2,inf)",61,0.44814313556685875,0.6128486066622547,1.355853296401659,1.815816866274194,2.741591376415673,2.0689743727366374,2.7664313357270847
nequip,etch,chemical_subset,C/F,1513,0.2333894320192807,0.3558816225312406,0.7333833416998188,1.375407735713462,2.5003874305452096,1.2260034862717628,2.902236910021168
nequip,etch,chemical_subset,Si/O,8088,0.2323742601087651,0.3385842035070184,0.7020592864521552,1.1776810540503946,3.7591573416400546,1.1316024767899586,3.816181513141447
nequip,etch,element,C,153,0.5585173942195072,0.7466954577259662,1.5821881530715776,2.1105225115758977,2.5003874305452096,2.3008882226849865,2.902236910021168
nequip,etch,element,F,1360,0.19681253627175524,0.27959830436805627,0.5901663041981158,0.9778232951684726,1.8022795205948094,0.965505940430837,2.266252298072986
nequip,etch,element,O,5260,0.18132121651879676,0.2566988902723737,0.5250353382449081,0.8507617282602628,2.126349325035939,0.8514972761568371,2.971427503282766
nequip,etch,element,Si,2828,0.32733147696988024,0.4531042674399132,0.9270592472236878,1.4654922040977156,3.7591573416400546,1.4218436703658717,3.816181513141447
nequip,etch,nearest_distance_A,"[1,1.5)",605,0.4010405169093163,0.5611822052091874,1.2161457106694968,1.797832919374675,2.940426539192497,1.9230092371419845,3.3520831626686234
nequip,etch,nearest_distance_A,"[1.5,2)",8967,0.22120794351500142,0.32115090819020026,0.6669022922780072,1.0984861076362107,3.7591573416400546,1.072273996887314,3.816181513141447
nequip,etch,nearest_distance_A,"[2,inf)",29,0.21931324743826977,0.34535913432009263,0.8422421043362429,1.141028463124263,1.1796905861636242,1.2545223455315078,1.7312246744173294
nequip,mqa,chemical_subset,C/F,256,0.5108197718940541,0.6794170641991816,1.3906866834430254,2.097576480725396,3.1402711024929943,2.1820982566531026,3.4960105644497657
nequip,mqa,chemical_subset,Si/O,1560,0.2740084709223853,0.386347420970772,0.8264240579444447,1.2676175398438503,2.3441817849329505,1.344628238519362,2.7666039836704353
nequip,mqa,element,C,256,0.5108197718940541,0.6794170641991816,1.3906866834430254,2.097576480725396,3.1402711024929943,2.1820982566531026,3.4960105644497657
nequip,mqa,element,O,528,0.15958333599242183,0.23052819494249707,0.4830652604537916,0.8153113532865339,1.295010033850117,0.831650012580256,1.3953501728840192
nequip,mqa,element,Si,1032,0.332551563212134,0.44546891832440694,0.940293372347381,1.4032157975224697,2.3441817849329505,1.468044977620195,2.7666039836704353
nequip,mqa,nearest_distance_A,"[1,1.5)",127,0.5819841206033968,0.7725830142977325,1.515902784315355,2.2383837984529698,3.1402711024929943,2.578935769973555,3.4960105644497657
nequip,mqa,nearest_distance_A,"[1.5,2)",1162,0.29418536447911187,0.42873492795746193,0.9606751770896056,1.4281209415814968,2.3441817849329505,1.5052582166785058,2.7666039836704353
nequip,mqa,nearest_distance_A,"[2,inf)",527,0.27033719051696314,0.34196692258306016,0.6546916716255246,0.9360919217145407,1.2987719341179744,0.9860152332408666,1.8733579222691161
nequip,qsd,archived_drag_distance_A,"[0,0.5)",7686,26.41105680908482,509.21469663020036,2.2713331166654855,214.79413746599664,22628.738630560274,5.201334559650059,26113.1540098329
nequip,qsd,archived_drag_distance_A,"[0.5,1)",8497,0.8460825370445451,7.7208462201784,1.1789666309726843,10.125915600930666,379.14957223804754,2.198554038196479,413.1468867754195
nequip,qsd,archived_drag_distance_A,"[1,1.5)",3386,1.2331136219678545,31.33766559700174,1.0021533990386537,6.154062683847911,1807.095925945483,1.7102985631017977,2215.569412005994
nequip,qsd,archived_drag_distance_A,"[1.5,2)",3582,0.86043258968793,18.425666871537178,0.9135487101401973,3.8886143610934685,959.8969308469375,1.507716194505701,1332.1400782683102
nequip,qsd,archived_drag_distance_A,"[2,inf)",1146,0.27697144891163655,0.5248402892658026,0.8727664194531723,2.0065374985726643,8.746038405129969,1.3711756486247006,10.242236254872083
nequip,qsd,chemical_subset,C/F,4616,28.69432622073519,481.39984598794547,10.053050888095186,350.1222529794475,22604.9125481836,27.15060756442479,26083.942974519137
nequip,qsd,chemical_subset,Si/O,19681,4.334451382433711,217.17877745924218,0.8391635211054898,3.1182889305569175,22628.738630560274,1.286658609878438,26113.1540098329
nequip,qsd,element,C,1411,49.73776184622762,502.6909485549927,18.28206452841968,619.644608618397,11976.052515252377,96.38854099574459,13808.701848562321
nequip,qsd,element,F,3205,19.42996189388033,471.7218835882274,7.689075458312949,213.3427317013599,22604.9125481836,17.87630621740113,26083.942974519137
nequip,qsd,element,O,12802,1.7201183340459667,84.73950487258078,0.6561513665521083,1.9422559707330993,7143.043467583999,0.9599426537381067,8240.667935598873
nequip,qsd,element,Si,6879,9.199793973720222,348.6851264832149,1.1224889189399248,5.538035730947656,22628.738630560274,1.6933312505178497,26113.1540098329
nequip,qsd,nearest_distance_A,"[0,0.5)",176,1157.0357731911972,3368.9076607177603,6828.405647410375,19897.625215833283,22628.738630560274,13698.253407840843,26113.1540098329
nequip,qsd,nearest_distance_A,"[0.5,1)",288,20.28775893291783,40.63993168954955,95.8822131302539,199.73617050861225,245.1871280951616,152.22300028146347,282.0556318899532
nequip,qsd,nearest_distance_A,"[1,1.5)",2053,1.313930554733257,3.3677725562796437,5.978118404538333,15.7089835390916,38.793111238953486,12.83889214055909,50.17922101108475
nequip,qsd,nearest_distance_A,"[1.5,2)",21780,0.25622944946708426,0.5734369803614418,0.7737545027690212,1.7245460164119502,18.246899336003757,1.2319750266290848,22.537409861224646
deepmd,FC,chemical_subset,C/F,13824,0.24029464561118666,0.3273341993923386,0.6883885384041336,1.0114415674329382,2.3124520721503075,1.063505311085924,2.7749945366742015
deepmd,FC,element,C,10704,0.268571463801546,0.3563800703763706,0.7362459761296015,1.0560691381773988,2.3124520721503075,1.1264625952638132,2.7749945366742015
deepmd,FC,element,F,3120,0.14328340781964619,0.19752409875323304,0.40709550284522733,0.6306493792461629,1.5943296482105853,0.6264304485927005,1.8923488333665677
deepmd,FC,nearest_distance_A,"[1,1.5)",12249,0.24480261795899774,0.3329470436508157,0.7011337717500612,1.021854283371281,2.3124520721503075,1.079376079279003,2.7749945366742015
deepmd,FC,nearest_distance_A,"[1.5,2)",1514,0.20671028186325816,0.28198862060849084,0.5811190742446718,0.935425112746775,1.4159111528145067,0.9049912647379442,1.7475224348179874
deepmd,FC,nearest_distance_A,"[2,inf)",61,0.1686319148902947,0.2207474752398851,0.43897504165047707,0.6031650810267961,0.6421985210695564,0.6970595832187467,0.8096697199864318
deepmd,etch,chemical_subset,C/F,1513,0.11027531331579295,0.19866505592697165,0.394681827072007,0.7637487566971148,2.994958797870636,0.6888351364047436,3.0139854493002574
deepmd,etch,chemical_subset,Si/O,8088,0.1299139724845299,0.2041480956281456,0.41758119475032346,0.7492347783976864,2.504879531464474,0.6757649622446736,2.916583111327804
deepmd,etch,element,C,153,0.2781138466038327,0.4314491009711052,0.8777563373139239,1.5002502625549317,2.994958797870636,1.4166697624688893,3.0139854493002574
