step,time_fs,temperature_K,potential_eV,kinetic_eV,total_eV,max_force_eV_A
19,9.5,232.07789361787465,-42.69677821436767,0.2399870247924936,-42.45679118957518,0.7744110151631982
20,10.0,225.71747933550358,-42.69020129683442,0.2334098498781641,-42.45679144695625,0.8105030528427835
21,10.5,219.22908311354934,-42.68348868534231,0.22670033144576426,-42.45678835389655,0.8456950389323976
22,11.0,212.6394481745015,-42.67667143446185,0.21988612411719105,-42.456785310344664,0.8799129159496382
23,11.5,205.97577324980372,-42.669781157390375,0.21299535354687685,-42.456785803843495,0.9130676520993736
24,12.0,199.26554607602912,-42.662841809361744,0.2060564442435744,-42.45678536511817,0.9450946746708004
25,12.5,192.5363854883911,-42.65587821682945,0.19909795628247123,-42.45678026054698,0.9759104099865424
26,13.0,185.8158956205836,-42.64892778156474,0.19214843453621303,-42.45677934702852,1.0054385928525083
27,13.5,179.13151631912382,-42.642016451960956,0.18523625399142069,-42.456780197969536,1.0335995515490648
28,14.0,172.51036071320323,-42.635165491538395,0.17838945178298046,-42.45677603975541,1.0603214065614754
29,14.5,165.97905996423773,-42.62841080329329,0.17163556665271446,-42.456775236640574,1.0855199774599502
30,15.0,159.5636108542733,-42.62177252910581,0.1650014813436541,-42.45677104776216,1.1091289366057553
31,15.5,153.28918454452446,-42.61528312106283,0.1585132248411382,-42.456769896221694,1.1310789256836538
32,16.0,147.17999677934571,-42.60897040022305,0.15219583815338247,-42.45677456206967,1.151300607866137
33,16.5,141.25916030754152,-42.602838196716526,0.14607322170336084,-42.456764975013165,1.1697314507608647
34,17.0,135.54852290938854,-42.5969351635684,0.14016796783584673,-42.45676719573256,1.186334513695657
35,17.5,130.0685500575148,-42.59126204583532,0.13450123947941736,-42.4567608063559,1.2010550693947835
36,18.0,124.83818959470356,-42.58585548912668,0.12909263021252557,-42.45676285891415,1.2138487496359427
37,18.5,119.87474673506117,-42.580723920385005,0.1239600350047527,-42.456763885380255,1.2246805611877274
38,19.0,115.19377601973733,-42.57588047315198,0.11911953849041844,-42.45676093466157,1.2335200294877224
39,19.5,110.80899778790811,-42.571346289146,0.11458532859292506,-42.456760960553076,1.2403432281539866
40,20.0,106.73222303568714,-42.56713125097541,0.11036961882288726,-42.45676163215252,1.2451314487051806
41,20.5,102.97328944348408,-42.56324389560113,0.1064825821253261,-42.45676131347581,1.2478823189336357
42,21.0,99.54002294972388,-42.55969156721345,0.10293231114383436,-42.45675925606962,1.2485974054874136
43,21.5,96.4382239336728,-42.55648358942492,0.09972480393251827,-42.456758785492404,1.247278120985494
44,22.0,93.67165655674577,-42.55362056200492,0.09686395293406043,-42.456756609070865,1.2439425599546627
45,22.5,91.24205721193117,-42.551109521204665,0.09435155371709796,-42.45675796748757,1.2386173545246433
46,23.0,89.14917943051277,-42.548946950930016,0.0921873514133494,-42.456759599516666,1.231331951320268
47,23.5,87.39084616269454,-42.547130868510735,0.09036909477994441,-42.45676177373079,1.2221254604745635
48,24.0,85.9630079911641,-42.54565408778201,0.08889259639688449,-42.45676149138513,1.211043552299767
49,24.5,84.85982332670035,-42.544513631409416,0.08775181559568813,-42.45676181581373,1.1981361837373123
50,25.0,84.07374763006891,-42.54370344787908,0.08693895072193637,-42.456764497157145,1.1834696275089027
51,25.5,83.59563417064287,-42.54320888616959,0.08644454332771111,-42.45676434284188,1.1671027802801393
52,26.0,83.41485697420738,-42.54302267609599,0.08625760530941663,-42.45676507078657,1.1491149782413281
53,26.5,83.51942998056671,-42.54312903838511,0.08636574212623516,-42.45676329625888,1.1295767026931784
54,27.0,83.89612814685715,-42.543521904282976,0.08675527803059699,-42.45676662625238,1.1085669388101544
55,27.5,84.5306195294876,-42.54417341748942,0.0874113926514263,-42.45676202483799,1.0861639323585401
56,28.0,85.40761229136665,-42.54508652023792,0.08831827301132153,-42.4567682472266,1.0624587969997248
57,28.5,86.5109911647785,-42.546230725455004,0.08945925464003712,-42.456771470814964,1.0375376585233629
58,29.0,87.82394673001353,-42.547586691681076,0.09081695525888328,-42.456769736422196,1.0114879198696605
59,29.5,89.32913364516162,-42.549141884374855,0.09237343840293383,-42.45676844597192,0.9844115218182893
60,30.0,91.00881451587682,-42.55088453950573,0.09411036219382074,-42.45677417731191,0.9634235401994072
61,30.5,92.84499418591786,-42.55278151819675,0.09600911820684788,-42.4567723999899,0.9521891707150173
62,31.0,94.81953107194792,-42.554824147273564,0.09805094660004082,-42.456773200673524,0.9402610261118115
