step,time_fs,potential_eV,kinetic_eV,total_eV,projectile_min_substrate_distance_A,carbon_z_A
40,10.0,-1141.1886104643345,34.097050476924515,-1107.09155998741,3.567340390354043,25.663149841561836
41,10.25,-1141.2335373610258,34.14199336558758,-1107.0915439954383,3.5521922842536875,25.636208387798945
42,10.5,-1141.2716740071774,34.1801431170544,-1107.091530890123,3.5372090364296924,25.609266412610985
43,10.75,-1141.3032377436757,34.21171809587337,-1107.0915196478024,3.522393689265719,25.582323897760386
44,11.0,-1141.3284790217876,34.23697824885475,-1107.091500772933,3.5077492065284783,25.555380821247795
45,11.25,-1141.3477135002613,34.256229295787676,-1107.0914842044735,3.4932784581479708,25.52843716138092
46,11.5,-1141.361281722784,34.26982187526899,-1107.0914598475151,3.4789842009261327,25.50149289931985
47,11.75,-1141.3695799782872,34.27814662174047,-1107.0914333565468,3.464869061355642,25.474548017782478
48,12.0,-1141.3730249628425,34.2816284408526,-1107.09139652199,3.4509355265213646,25.447602499214987
49,12.25,-1141.372100442648,34.28072062998967,-1107.0913798126583,3.4371859405207705,25.4206563235695
50,12.5,-1141.3672298043966,34.27589907332534,-1107.0913307310714,3.423622501157675,25.393709466768158
51,12.75,-1141.358975097537,34.26765997964237,-1107.0913151178947,3.4102472622332294,25.36676190018681
52,13.0,-1141.3477958664298,34.25651389562923,-1107.0912819708005,3.3970621317302365,25.33981359042656
53,13.25,-1141.3342221081257,34.24297993426474,-1107.091242173861,3.3840688789396287,25.31286449926967
54,13.5,-1141.3187953159213,34.22758526227725,-1107.091210053644,3.371269133187104,25.2859145825072
55,13.75,-1141.3020378053188,34.21085888482783,-1107.091178920491,3.3586643879162263,25.25896378948747
56,14.0,-1141.284467637539,34.19332223500266,-1107.0911454025363,3.3462560038839095,25.23201206447938
57,14.25,-1141.2666020467877,34.1754856764957,-1107.091116370292,3.334045212690585,25.205059348141877
58,14.5,-1141.2489331290126,34.157844532847236,-1107.0910885961653,3.322033118063277,25.178105580358892
59,14.75,-1141.231934517622,34.14087337619181,-1107.0910611414301,3.310220703470812,25.15115070364249
60,15.0,-1141.2160628587008,34.12502137774374,-1107.091041480957,3.298608832191641,25.12419466853509
61,15.25,-1141.2017346993089,34.1107074118506,-1107.0910272874582,3.28719825537822,25.097237437906536
62,15.5,-1141.1893042623997,34.09831787308486,-1107.0909863893148,3.275989613809263,25.070278985802613
